seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
5042.0,0.0,2.0,2.0,0.0313921706110704,0.0296862665563821,0.0529891587793827,0.0665979906916618,0.0201079510152339,1310.8665642738342
5042.0,0.0,3.0,3.0,0.0415519015186873,0.0315700434148311,0.0988041460514068,0.0973842963576316,0.0440775118768215,1310.8665642738342
5042.0,0.1,0.0,0.0,0.0455765478545799,0.0496022142469882,0.0307668596506118,0.0565113946795463,,879.2619965076447
5042.0,0.1,1.0,1.0,0.0326878463383764,0.0386336892843246,0.0247481893748044,0.0318235233426094,,879.2619965076447
5042.0,0.1,2.0,2.0,0.0272098139976151,0.0269732307642698,0.0505920611321926,0.0573817193508148,,879.2619965076447
5042.0,0.1,3.0,3.0,0.0372183036379283,0.0293765291571617,0.0908640399575233,0.0857802033424377,,879.2619965076447
5042.0,0.25,0.0,0.0,0.0647294657537713,0.0723110288381576,0.0300239473581314,0.0436584763228893,,1215.446144580841
5042.0,0.25,1.0,1.0,0.045071494881995,0.0531914345920085,0.0287959314882755,0.0372912101447582,,1215.446144580841
5042.0,0.25,2.0,2.0,0.0474515547393821,0.0532513931393623,0.0520253330469131,0.0611925758421421,,1215.446144580841
5042.0,0.25,3.0,3.0,0.0429581433709245,0.029712026938796,0.0973086953163147,0.1126223132014274,,1215.446144580841
5042.0,0.5,0.0,0.0,0.0923265693127177,0.1080032587051391,0.0370662473142147,0.0475179515779018,,1299.408177614212
5042.0,0.5,1.0,1.0,0.0721591126639396,0.0813772305846214,0.0314425081014633,0.0395815707743167,,1299.408177614212
5042.0,0.5,2.0,2.0,0.0708054569549858,0.0805357173085212,0.0528200566768646,0.069431684911251,,1299.408177614212
5042.0,0.5,3.0,3.0,0.0395958030421752,0.0299757793545722,0.0962691530585289,0.0939816385507583,,1299.408177614212
5042.0,0.75,0.0,0.0,0.1186381480656564,0.1396896839141845,0.0384954772889614,0.0409491173923015,,828.7267482280731
5042.0,0.75,1.0,1.0,0.0863125578034669,0.1004491671919822,0.0293757561594247,0.0301910154521465,,828.7267482280731
5042.0,0.75,2.0,2.0,0.0844223747844807,0.0975817963480949,0.0479041747748851,0.056652445346117,,828.7267482280731
5042.0,0.75,3.0,3.0,0.0385263360658427,0.0290914922952651,0.0891456827521324,0.0845206007361412,,828.7267482280731
5042.0,1.0,0.0,0.0,0.1624421711312607,0.1922294795513153,0.0368321910500526,0.0450033247470855,,819.06858086586
5042.0,1.0,1.0,1.0,0.0974187323008664,0.1202616840600967,0.029454568400979,0.0409255847334861,,819.06858086586
5042.0,1.0,2.0,2.0,0.0979240822198335,0.1166192442178726,0.0516702309250831,0.049753863364458,,819.06858086586
5042.0,1.0,3.0,3.0,0.0380433533719042,0.0294001381844282,0.0909585431218147,0.087980218231678,,819.06858086586
6042.0,0.0,0.0,0.0,0.0287986373587045,0.0310452505946159,0.0629084408283233,0.055422056466341,0.003800899721682,1085.5823938846588
6042.0,0.0,1.0,1.0,0.023653067612031,0.029425049200654,0.0261847842484712,0.0265499912202358,0.0058479374274611,1085.5823938846588
6042.0,0.0,2.0,2.0,0.0257584696373669,0.0295330192893743,0.0465764515101909,0.0429816059768199,0.0088262308927369,1085.5823938846588
6042.0,0.0,3.0,3.0,0.0378214736538211,0.0281420890241861,0.10010427236557,0.1005729064345359,0.0455324128270149,1085.5823938846588
6042.0,0.1,0.0,0.0,0.0472075722645968,0.0547260083258152,0.0345989987254142,0.0265555996447801,,858.5212326049805
6042.0,0.1,1.0,1.0,0.0278879243414849,0.0361375510692596,0.0294797159731388,0.0275010764598846,,858.5212326049805
6042.0,0.1,2.0,2.0,0.0309708659769967,0.0348969027400016,0.0450115278363227,0.0346119627356529,,858.5212326049805
6042.0,0.1,3.0,3.0,0.0303517258143983,0.0261469725519418,0.0912619978189468,0.0763451159000396,,858.5212326049805
6042.0,0.25,0.0,0.0,0.0650323887821286,0.0766768679022789,0.0358863472938537,0.0301621910184621,,767.3200664520264
6042.0,0.25,1.0,1.0,0.0405670915497466,0.0534192770719528,0.0290611423552036,0.0281481947749853,,767.3200664520264
6042.0,0.25,2.0,2.0,0.0399494698503986,0.0450047180056571,0.0424314811825752,0.0318167135119438,,767.3200664520264
