seed,event_idx,memory_idx,mean_coherence,peak_coherence,smooth_coh_last,n_coh_steps,stdp_calls,pot_updates,dep_updates
2042,102,0,0.0,0.0,0.0,0,0,0,0
2042,103,0,0.0,0.0,0.0,0,0,0,0
2042,104,0,0.0,0.0,0.0,0,0,0,0
2042,105,0,0.09213019907474518,0.16193798184394836,0.043974706185193425,0,1,0,0
2042,106,1,0.05969986319541931,0.16131210327148438,0.0,0,0,0,0
2042,107,0,0.08017005771398544,0.14520545303821564,0.04356163751022797,0,0,0,0
2042,108,1,0.05652841180562973,0.1428571194410324,0.0,0,0,0,0
2042,109,1,0.07737509161233902,0.14209112524986267,0.04193547785871285,0,0,0,0
2042,110,0,0.028571423143148422,0.1428571194410324,0.0,0,0,0,0
2042,111,1,0.07807766646146774,0.1428571194410324,0.04285713673469475,0,0,0,0
2042,112,1,0.057142846286296844,0.1428571194410324,0.0,0,0,0,0
2042,113,1,0.07807766646146774,0.1428571194410324,0.04285713673469475,0,0,0,0
2042,114,1,0.057142846286296844,0.1428571194410324,0.0,0,0,0,0
2042,115,0,0.05947520583868027,0.15451891720294952,0.0,0,0,0,0
2042,116,1,0.028571423143148422,0.1428571194410324,0.0,0,0,0,0
2042,117,1,0.0,0.0,0.0,0,0,0,0
2042,118,1,0.028571423143148422,0.1428571194410324,0.0,0,0,0,0
2042,119,1,0.028571423143148422,0.1428571194410324,0.04285713673469475,0,0,0,0
2042,120,0,0.08169684559106827,0.15542519092559814,0.046627558735306114,0,0,0,0
2042,121,0,0.05576326325535774,0.15411046147346497,0.0,0,0,0,0
2042,122,2,0.09056036919355392,0.15411046147346497,0.045250357977789486,0,0,0,0
2042,123,2,0.05862600728869438,0.14865531027317047,0.0,0,0,0,0
2042,124,2,0.03800884261727333,0.19004420936107635,0.0,0,0,0,0
2042,125,0,0.0,0.0,0.0,0,0,0,0
2042,126,2,0.0,0.0,0.0,0,0,0,0
2042,127,2,0.0,0.0,0.0,0,0,0,0
2042,128,2,0.0,0.0,0.0,0,0,0,0
2042,129,1,0.0,0.0,0.0,0,0,0,0
2042,130,0,0.0,0.0,0.0,0,0,0,0
2042,131,1,0.0,0.0,0.0,0,0,0,0
2042,132,2,0.0,0.0,0.0,0,0,0,0
