seed,condition,memory_id,replay_count,retention,w_slow
16042,SUPPRESS_MEM0,1,19,0.2456437509972602,0.0765324681997299
16042,SUPPRESS_MEM0,2,17,0.2327834737952798,0.0539248883724212
16042,SUPPRESS_MEM0,3,9,0.2251975499093532,0.0189003366976976
17042,SUPPRESS_MEM0,0,0,0.2131890335585922,0.0265261009335517
17042,SUPPRESS_MEM0,1,16,0.230347593082115,0.0598592422902584
17042,SUPPRESS_MEM0,2,16,0.2356082298792898,0.0715878382325172
17042,SUPPRESS_MEM0,3,13,0.2154441508464515,0.0195814371109008
18042,SUPPRESS_MEM0,0,0,0.218596025602892,0.0310507826507091
18042,SUPPRESS_MEM0,1,15,0.2503165223170072,0.0826687216758728
18042,SUPPRESS_MEM0,2,15,0.2496988652274012,0.0710163116455078
18042,SUPPRESS_MEM0,3,15,0.2208297015167772,0.0180541817098855
19042,SUPPRESS_MEM0,0,1,0.2284876615740358,0.0362499207258224
19042,SUPPRESS_MEM0,1,12,0.2481403199490159,0.0778261870145797
19042,SUPPRESS_MEM0,2,15,0.2371350296307355,0.0540051460266113
19042,SUPPRESS_MEM0,3,17,0.2274347986094653,0.018866853788495
20042,CONTROL,0,10,0.23741764877922833,0.07306091487407684
20042,CONTROL,1,16,0.23663838440552354,0.07429546117782593
20042,CONTROL,2,10,0.2372173413168639,0.06332886219024658
20042,CONTROL,3,9,0.2195320106111467,0.018322860822081566
21042,CONTROL,0,11,0.24503322644159198,0.08142086118459702
21042,CONTROL,1,13,0.25004452047869563,0.07862704247236252
21042,CONTROL,2,7,0.24885366717353463,0.06734412908554077
21042,CONTROL,3,14,0.21865818020887673,0.017675060778856277
22042,CONTROL,0,9,0.2413372746668756,0.05586102604866028
22042,CONTROL,1,12,0.2512432159855962,0.07595160603523254
22042,CONTROL,2,12,0.24232639442197978,0.051515914499759674
22042,CONTROL,3,12,0.23391754343174398,0.016045087948441505
23042,CONTROL,0,9,0.23567184549756348,0.056758806109428406
23042,CONTROL,1,15,0.2520582403521985,0.08205199986696243
23042,CONTROL,2,11,0.2465150796342641,0.05971956253051758
23042,CONTROL,3,10,0.22737102839164436,0.01848488859832287
24042,CONTROL,0,9,0.25329733127728105,0.07505033165216446
24042,CONTROL,1,12,0.2610742242541164,0.08295784145593643
24042,CONTROL,2,12,0.2555972763802856,0.06670726090669632
24042,CONTROL,3,12,0.22620777366682887,0.01479949988424778
