param,value,seed,condition,time_sec,mean_retention,M0_retention,M1_retention,M2_retention,M3_retention,ok
TAU_SLOW,6000.0,2042,FULL,502.1778540611267,0.2749956389889121,0.3200139105319977,0.28063496807590127,0.25767124397680163,0.24166243337094784,True
TAU_SLOW,6000.0,2042,NO_REPLAY,485.54136872291565,0.04201581294182688,0.03686730703338981,0.03374503180384636,0.05316425580531359,0.04428665712475777,True
W_MAX,1.0,42,FULL,498.04715752601624,0.3254066740628332,0.36424726713448763,0.34577528946101665,0.3159246863797307,0.2756794532760978,True
W_MAX,1.0,42,NO_REPLAY,479.2682340145111,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
W_MAX,1.0,1042,FULL,491.30074548721313,0.29743949323892593,0.32408506143838167,0.3109913570806384,0.2971382848918438,0.25754326954483986,True
W_MAX,1.0,1042,NO_REPLAY,477.21662878990173,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
W_MAX,1.0,2042,FULL,490.5523886680603,0.28324693045578897,0.3304415848106146,0.2850460046902299,0.26932886335998774,0.24817126896232367,True
W_MAX,1.0,2042,NO_REPLAY,476.24975991249084,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
W_MAX,1.25,42,FULL,492.355375289917,0.3155214295256883,0.3469699565321207,0.33466929383575916,0.3141977982595563,0.266248669475317,True
W_MAX,1.25,42,NO_REPLAY,480.49014019966125,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
W_MAX,1.25,1042,FULL,502.7752683162689,0.29046988137997687,0.3275913670659065,0.30497932713478804,0.2734847767278552,0.2558240545913577,True
W_MAX,1.25,1042,NO_REPLAY,483.4994080066681,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
W_MAX,1.25,2042,FULL,494.2772707939148,0.2997246936429292,0.33492252696305513,0.2994075072929263,0.3034026501700282,0.26116609014570713,True
W_MAX,1.25,2042,NO_REPLAY,476.49392914772034,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
W_MAX,1.5,42,FULL,492.7853493690491,0.32865257537923753,0.35828240029513836,0.34848540369421244,0.3308304511010647,0.27701204642653465,True
W_MAX,1.5,42,NO_REPLAY,478.84322476387024,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
W_MAX,1.5,1042,FULL,492.6115107536316,0.2981674522161484,0.3248251723125577,0.3119674241170287,0.2972932858392596,0.25858392659574747,True
W_MAX,1.5,1042,NO_REPLAY,475.9696853160858,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
W_MAX,1.5,2042,FULL,497.3377902507782,0.2840946801006794,0.33115301188081503,0.2773086838424206,0.27818961534649134,0.24972740933299065,True
W_MAX,1.5,2042,NO_REPLAY,486.9652109146118,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
W_MAX,1.75,42,FULL,519.0386667251587,0.30721350270323455,0.3469860255718231,0.325484705157578,0.29497409891337156,0.26140918117016554,True
W_MAX,1.75,42,NO_REPLAY,477.7986319065094,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
W_MAX,1.75,1042,FULL,491.3775441646576,0.29156830441206694,0.3313154196366668,0.3058310905471444,0.2753203958272934,0.25380631163716316,True
W_MAX,1.75,1042,NO_REPLAY,485.1625020503998,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
W_MAX,1.75,2042,FULL,491.5550260543823,0.29922063276171684,0.33683279156684875,0.29734081123024225,0.3030071211978793,0.25970180705189705,True
W_MAX,1.75,2042,NO_REPLAY,481.9936852455139,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
