seed,condition,M0_retention,M0_replay,M0_wslow,M0_W_encode,M1_retention,M1_replay,M1_wslow,M1_W_encode,M2_retention,M2_replay,M2_wslow,M2_W_encode,M3_retention,M3_replay,M3_wslow,M3_W_encode
9042,EQUALIZED,0.3060687610413879,28,0.1997835785150528,0.021597370505332947,0.2608256717212498,12,0.09209056943655014,0.04221289977431297,0.24349076114594936,5,0.07063449174165726,0.04528621584177017,0.22151338681578636,0,0.019907068461179733,0.037285711616277695
10042,EQUALIZED,0.32947102654725313,28,0.20426979660987854,0.0206197090446949,0.26232621097005904,12,0.09615455567836761,0.043670471757650375,0.2612333418801427,5,0.07431201636791229,0.04625828564167023,0.22597746131941676,0,0.01749592088162899,0.03591976314783096
11042,EQUALIZED,0.3428816662635654,29,0.20445454120635986,0.023247744888067245,0.26860680780373514,12,0.09543073922395706,0.04646497592329979,0.26217574207112193,5,0.07156258821487427,0.045827120542526245,0.23692984227091074,0,0.017035769298672676,0.03472788631916046
12042,EQUALIZED,0.324504220392555,28,0.19614826142787933,0.0209821704775095,0.26860756636597216,12,0.09555017203092575,0.0448337085545063,0.2549505445640534,5,0.07008114457130432,0.04343738406896591,0.22922015166841447,0,0.019239289686083794,0.03762828931212425
13042,EQUALIZED,0.32546268054284155,28,0.19166074693202972,0.019826896488666534,0.2609080953989178,12,0.09373815357685089,0.04201168939471245,0.25254854327067733,5,0.0681275874376297,0.043294720351696014,0.22968289675191045,0,0.020192356780171394,0.036635324358940125
14042,EQUALIZED,0.3333910354413092,28,0.19532233476638794,0.021735316142439842,0.26552849169820547,12,0.09650415182113647,0.04297168552875519,0.26356886187568307,5,0.06850682944059372,0.04337053373456001,0.23382061324082315,0,0.01729777082800865,0.03481822460889816
42,EQUALIZED_POS,0.3398394053801894,28,0.20906572043895721,0.033244673162698746,0.27942319959402084,12,0.09771380573511124,0.05554759129881859,0.26406229636631906,5,0.07245616614818573,0.05582530051469803,0.23740139813162386,0,0.019650427624583244,0.04244178906083107
1042,EQUALIZED_POS,0.33029641793109477,29,0.21825380623340607,0.021506929770112038,0.2700068554840982,12,0.09230390191078186,0.04189084470272064,0.25237404159270227,5,0.07535403966903687,0.04542921110987663,0.23316556005738676,0,0.017569370567798615,0.03569675609469414
2042,EQUALIZED_POS,0.33998408471234143,29,0.20748956501483917,0.020760660991072655,0.26532984082587063,12,0.09299866855144501,0.04424741864204407,0.27053581783548,5,0.07160938531160355,0.04611719027161598,0.235043405322358,0,0.018216419965028763,0.03520255908370018
3042,EQUALIZED_POS,0.3343817505519837,28,0.2044828236103058,0.02188059873878956,0.2677080489229411,12,0.09705550968647003,0.04385554790496826,0.2542983095627278,5,0.07149367779493332,0.04424639046192169,0.23102780641056597,0,0.01553063839673996,0.03559922054409981
4042,EQUALIZED_POS,0.33206815109588206,28,0.196316197514534,0.01964382827281952,0.25920328591018915,12,0.09361906349658966,0.04462863877415657,0.2570784534327686,5,0.07046553492546082,0.04358753189444542,0.23612269200384617,0,0.019184118136763573,0.03854139894247055
5042,EQUALIZED_POS,0.3326018441002816,28,0.20013605058193207,0.022269591689109802,0.277745031286031,12,0.09090805053710938,0.04209426790475845,0.25992803927510977,5,0.07247963547706604,0.046367283910512924,0.24038903205655515,0,0.01997184567153454,0.03745545074343681
6042,EQUALIZED_POS,0.3317552232183516,28,0.1985442340373993,0.021685227751731873,0.26804266730323434,12,0.09751430153846741,0.04571666568517685,0.2614795865956694,5,0.07002609968185425,0.04511168599128723,0.23139123897999525,0,0.0176000464707613,0.03633102774620056
7042,EQUALIZED_POS,0.3289872903842479,29,0.2068299502134323,0.020109739154577255,0.26452795322984457,12,0.09598834812641144,0.04421285539865494,0.25927590182982385,5,0.07108793407678604,0.045203257352113724,0.23077208315953612,0,0.020702218636870384,0.03643153980374336
8042,EQUALIZED_POS,0.34234910062514246,28,0.19492773711681366,0.020529447123408318,0.2725403264630586,12,0.09718844294548035,0.04458761215209961,0.2666255156509578,5,0.06963647156953812,0.04223685339093208,0.24707740847952664,0,0.01658043824136257,0.036289624869823456
9042,EQUALIZED_POS,0.3067721030674875,28,0.1996205449104309,0.021597370505332947,0.25969367707148194,12,0.09144571423530579,0.040694460272789,0.24500561621971428,5,0.07276369631290436,0.04595137760043144,0.22178760543465614,0,0.020078159868717194,0.037320755422115326
10042,EQUALIZED_POS,0.33440680685453117,28,0.2046073079109192,0.0206197090446949,0.27612885762937367,12,0.09438256919384003,0.044178981333971024,0.2707858560606837,5,0.07377070188522339,0.04564566910266876,0.2354135864879936,0,0.01766830123960972,0.036043427884578705
11042,EQUALIZED_POS,0.34834974398836493,29,0.204806387424469,0.023247744888067245,0.27777745807543397,12,0.09266660362482071,0.045458219945430756,0.2675315458327532,5,0.0678727999329567,0.044450756162405014,0.24199960194528103,0,0.01760615035891533,0.035233236849308014
12042,EQUALIZED_POS,0.3189998164307326,28,0.19644621014595032,0.0209821704775095,0.25902639608830214,12,0.0970020517706871,0.044373370707035065,0.24423119379207492,5,0.07020047307014465,0.04267866909503937,0.22167333657853305,0,0.019145095720887184,0.03763582557439804
13042,EQUALIZED_POS,0.3254791621584445,28,0.19197574257850647,0.019826896488666534,0.2578249901998788,12,0.09502340108156204,0.043563928455114365,0.25385931553319097,5,0.06949042528867722,0.04283422976732254,0.22635930962860584,0,0.020125430077314377,0.0368095263838768
14042,EQUALIZED_POS,0.3308448090683669,28,0.1944771409034729,0.021735316142439842,0.2672551008872688,12,0.09411624819040298,0.04263768345117569,0.2624869863502681,5,0.06675499677658081,0.04229982942342758,0.2322181398048997,0,0.01723383367061615,0.03465566784143448
