seed,condition,memory_id,replay_count,retention,w_slow_contrib
9042,BOOST_MEM3,3,17,0.21597725502215326,0.019769662991166115
10042,BOOST_MEM3,0,13,0.26080815214663744,0.09111050516366959
10042,BOOST_MEM3,1,10,0.24220754439011216,0.05385136604309082
10042,BOOST_MEM3,2,8,0.23896714230068028,0.04694541543722153
10042,BOOST_MEM3,3,15,0.23308536666445434,0.01767846755683422
11042,BOOST_MEM3,0,9,0.23828033590689301,0.062232136726379395
11042,BOOST_MEM3,1,4,0.22496399213559926,0.03673623874783516
11042,BOOST_MEM3,2,11,0.24799337587319314,0.07198244333267212
11042,BOOST_MEM3,3,21,0.22311414498835802,0.017521873116493225
12042,BOOST_MEM3,0,11,0.2531254959758371,0.08601349592208862
12042,BOOST_MEM3,1,6,0.2407242467161268,0.05337727442383766
12042,BOOST_MEM3,2,11,0.25528596760705113,0.0806620791554451
12042,BOOST_MEM3,3,17,0.22354346350766718,0.018536970019340515
13042,BOOST_MEM3,0,8,0.2364405628759414,0.059665780514478683
13042,BOOST_MEM3,1,8,0.2286833319813013,0.046494245529174805
13042,BOOST_MEM3,2,11,0.2363216453231871,0.05149565264582634
13042,BOOST_MEM3,3,18,0.219761130400002,0.020071418955922127
14042,BOOST_MEM3,0,9,0.22813556855544448,0.04944846034049988
14042,BOOST_MEM3,1,10,0.23134785587899387,0.056808434426784515
14042,BOOST_MEM3,2,6,0.22742997575551271,0.035009801387786865
14042,BOOST_MEM3,3,20,0.22074986225925386,0.017036767676472664
15042,BOOST_MEM3,0,13,0.24150405381806195,0.07328763604164124
15042,BOOST_MEM3,1,11,0.23436156031675637,0.054786618798971176
15042,BOOST_MEM3,2,10,0.22868166654370725,0.03499109670519829
15042,BOOST_MEM3,3,11,0.2191320883575827,0.018153386190533638
16042,BOOST_MEM3,0,11,0.23811539309099317,0.05433402210474014
16042,BOOST_MEM3,1,11,0.23482961719855666,0.05325040966272354
16042,BOOST_MEM3,2,9,0.23381735826842487,0.054532650858163834
16042,BOOST_MEM3,3,14,0.22563030780293047,0.018987426534295082
17042,BOOST_MEM3,0,9,0.23488530702888966,0.06222902610898018
17042,BOOST_MEM3,1,10,0.22758802468888462,0.04587196931242943
17042,BOOST_MEM3,2,12,0.21635286672972143,0.02968818135559559
17042,BOOST_MEM3,3,14,0.2201359188184142,0.019936686381697655
18042,BOOST_MEM3,0,11,0.24111347878351808,0.07383915036916733
18042,BOOST_MEM3,1,10,0.2337574982084334,0.046364154666662216
18042,BOOST_MEM3,2,9,0.23708040127530694,0.0454481840133667
18042,BOOST_MEM3,3,15,0.22158442926593125,0.01786155439913273
